,證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比
574,2603,長榮,"436,603,121","116,134","14,712,659,950",32.45,35.25,31.50,35.00,+,2.9,35.00,102,35.05,"1,193",15.77
575,2605,新興,"8,830,114","3,599","165,165,018",18.25,19.15,18.00,18.95,+,0.7,18.95,16,19.00,40,15.92
576,2606,裕民,"5,064,241","2,240","172,087,180",33.50,34.85,33.20,34.35,+,0.85,34.35,2,34.40,51,26.63
577,2607,榮運,"3,830,171","1,317","61,342,340",15.80,16.30,15.60,16.10,+,0.3,16.10,71,16.15,132,22.36
578,2608,嘉里大榮,"156,110",132,"6,558,615",42.10,42.25,41.75,42.10,+,0.5,42.05,8,42.10,6,13.71
579,2609,陽明,"199,178,481","51,823","4,323,995,374",20.90,22.80,20.30,22.60,+,1.75,22.60,59,22.65,462,68.48
580,2610,華航,"29,457,371","5,350","297,906,693",10.10,10.25,10.00,10.20,+,0.1,10.20,411,10.25,"1,304",0.00
581,2611,志信,"4,378,812","1,630","42,955,048",9.42,10.25,9.30,9.90,+,0.4,9.89,4,9.90,74,0.00
582,2612,中航,"854,804",516,"26,605,884",30.95,31.75,30.35,31.50,+,0.95,31.45,3,31.50,16,16.24
583,2613,中櫃,"651,760",374,"11,202,782",16.85,17.55,16.70,17.45,+,0.75,17.40,9,17.45,21,91.84
584,2614,東森,"1,656,468",669,"26,680,256",16.05,16.20,16.00,16.10,+,0.1,16.10,28,16.15,44,12.29
585,2615,萬海,"33,948,071","14,630","1,502,722,894",42.70,45.50,42.35,44.80,+,2.1,44.80,14,44.85,2,20.93
586,2616,山隆,"98,266",146,"3,064,925",31.35,31.40,31.00,31.30,-,0.1,31.20,6,31.30,1,11.81
587,2617,台航,"1,687,500",679,"31,613,499",18.60,19.05,18.40,18.90,+,0.3,18.85,4,18.90,37,15.75
588,2618,長榮航,"13,527,501","3,488","163,272,057",12.05,12.25,11.90,12.20,+,0.15,12.15,180,12.20,182,0.00
589,2630,亞航,"30,162",31,"477,623",15.70,16.30,15.70,16.30,+,0.55,16.05,1,16.30,2,44.05
590,2633,台灣高鐵,"7,958,492","3,402","231,696,746",29.10,29.25,29.00,29.15,+,0.05,29.15,421,29.20,95,32.03
591,2634,漢翔,"3,617,043","1,787","102,097,119",28.20,28.50,28.00,28.20,+,0.65,28.15,25,28.20,12,37.11
592,2636,台驊投控,"1,164,833",844,"45,240,812",38.30,39.35,38.00,39.20,+,1.05,39.15,4,39.20,74,11.04
593,2637,慧洋-KY,"1,891,463",867,"45,951,787",24.15,24.60,23.95,24.50,+,0.35,24.50,105,24.55,28,144.12
594,2642,宅配通,"197,695",149,"6,287,881",32.00,32.00,31.65,31.85,-,0.15,31.80,3,31.85,1,15.61
595,2701,萬企,"25,032",35,"297,325",12.00,12.00,11.80,11.90,+,0.1,11.80,85,11.90,7,27.67
596,2702,華園,"96,461",77,"1,458,766",15.30,15.30,15.00,15.20,-,0.15,15.20,7,15.25,15,0.00
597,2704,國賓,"437,561",161,"13,350,190",30.45,30.85,30.30,30.35,-,0.05,30.35,2,30.40,26,112.41
598,2705,六福,"204,916",191,"3,941,981",19.50,19.50,19.15,19.25,-,0.1,19.25,5,19.30,1,0.00
599,2706,第一店,"72,134",69,"976,275",13.70,13.70,13.45,13.60,+,0.05,13.50,2,13.60,10,41.21
600,2707,晶華,"210,903",257,"26,939,265",128.50,128.50,127.00,128.00,-,0.5,127.50,5,128.00,28,21.37
601,2712,遠雄來,"3,000",3,"127,150",42.00,42.95,42.00,42.20,+,0.2,42.00,1,42.20,3,64.92
602,2722,夏都,"44,000",30,"1,080,900",24.50,24.65,24.50,24.55,-,0.1,24.45,2,24.55,2,38.97
603,2723,美食-KY,"522,124",445,"70,246,171",134.00,136.50,133.50,134.00,-,1.5,133.50,10,134.00,3,29.07
604,2727,王品,"794,182",766,"95,451,064",122.00,122.50,119.00,119.50,-,1.0,119.50,15,120.00,17,37.00
605,2731,雄獅,"104,280",75,"7,349,714",70.70,70.90,70.30,70.50,-,0.2,70.50,2,70.60,12,0.00
606,2739,寒舍,"18,221",23,"409,638",22.50,22.70,22.30,22.45,+,0.2,22.40,1,22.50,30,0.00
607,2748,雲品,"98,456",80,"3,835,805",39.10,39.25,38.80,39.00,-,0.25,38.95,3,39.00,5,27.46
608,2801,彰銀,"8,883,687","2,328","151,811,981",17.25,17.25,17.00,17.00,-,0.1,17.00,"2,186",17.10,87,21.52
609,2809,京城銀,"2,533,580","1,275","96,824,015",38.70,38.70,38.10,38.25,-,0.4,38.20,65,38.25,6,8.46
610,2812,台中銀,"5,577,786","2,188","59,682,126",10.70,10.75,10.65,10.70, ,0.0,10.70,1,10.75,"1,099",10.09
611,2816,旺旺保,"144,364",82,"2,885,582",20.20,20.20,19.80,20.00,-,0.05,19.95,7,20.00,101,6.62
612,2820,華票,"782,550",365,"11,546,425",14.75,14.80,14.70,14.80,+,0.05,14.75,19,14.80,68,13.33
613,2823,中壽,"14,095,354","3,495","315,292,008",22.65,22.65,22.50,22.55,+,0.05,22.55,"1,445",22.60,"1,007",6.50
614,2832,台產,"689,655",378,"14,040,632",20.20,20.50,20.20,20.40,+,0.4,20.40,12,20.45,40,10.85
615,2834,臺企銀,"23,410,432","7,160","217,259,289",9.34,9.34,9.25,9.26,-,0.08,9.26,83,9.27,109,14.47
616,2836,高雄銀,"788,769",293,"7,610,816",9.70,9.72,9.54,9.65,-,0.08,9.63,20,9.67,1,13.40
617,2836A,高雄銀甲特,"62,806",54,"1,440,012",22.95,22.95,22.90,22.90,-,0.05,22.90,25,22.95,6,0.00
618,2838,聯邦銀,"816,447",336,"8,551,387",10.55,10.55,10.40,10.50,+,0.05,10.45,44,10.50,13,10.29
619,2838A,聯邦銀甲特,"35,071",29,"1,819,963",51.90,52.00,51.80,52.00,-,0.2,51.80,2,52.00,43,0.00
620,2841,台開,"1,792,200",528,"12,742,589",7.19,7.19,7.08,7.12,-,0.02,7.11,50,7.12,5,0.00
621,2845,遠東銀,"3,656,929",892,"37,767,367",10.35,10.40,10.30,10.30,-,0.05,10.30,"1,156",10.35,6,12.12
622,2849,安泰銀,"80,220",34,"1,153,773",14.55,14.55,14.25,14.35,+,0.05,14.30,2,14.40,13,14.07
623,2850,新產,"96,377",80,"3,564,825",37.35,37.35,36.85,37.00, ,0.0,36.95,2,37.00,6,6.92
624,2851,中再保,"152,464",96,"3,374,577",22.35,22.35,22.05,22.15, ,0.0,22.15,1,22.20,15,8.72
625,2852,第一保,"74,303",34,"959,019",13.00,13.00,12.85,12.85, ,0.0,12.85,22,12.90,1,11.90
626,2855,統一證,"3,624,645","1,268","73,714,806",20.55,20.55,20.20,20.45,-,0.05,20.45,19,20.50,332,11.05
627,2867,三商壽,"3,027,516","1,028","24,648,683",8.24,8.24,8.10,8.17, ,0.0,8.15,15,8.17,23,8.51
628,2880,華南金,"16,935,630","6,736","296,380,541",17.60,17.65,17.45,17.45,-,0.15,17.45,223,17.50,285,28.61
629,2881,富邦金,"20,524,152","4,900","951,662,307",46.35,46.55,46.25,46.25,+,0.05,46.25,572,46.30,5,7.28
630,2881A,富邦特,"161,552",89,"9,979,552",61.80,61.80,61.70,61.80, ,0.0,61.70,199,61.80,81,0.00
631,2881B,富邦金乙特,"29,656",21,"1,847,578",62.00,62.50,62.00,62.50, ,0.0,62.00,2,62.40,3,0.00
632,2882,國泰金,"22,400,759","6,220","909,900,964",40.80,40.85,40.55,40.55,-,0.1,40.55,422,40.60,2,7.95
633,2882A,國泰特,"107,300",40,"6,631,225",62.00,62.00,61.70,61.90,+,0.1,61.80,4,61.90,24,0.00
634,2882B,國泰金乙特,"15,183",22,"942,977",62.20,62.40,61.90,62.40, ,0.0,62.00,1,62.30,23,0.00
635,2883,開發金,"47,163,142","9,094","427,326,885",9.10,9.11,9.03,9.04,-,0.02,9.04,"2,372",9.06,30,12.05
636,2884,玉山金,"38,229,449","18,496","930,250,637",24.50,24.55,24.30,24.30,-,0.2,24.30,"3,114",24.35,659,16.76
637,2885,元大金,"31,360,322","6,089","651,633,336",21.00,21.00,20.65,20.75,-,0.25,20.75,"1,550",20.80,51,11.04
638,2886,兆豐金,"20,702,107","8,945","592,579,421",28.70,28.70,28.55,28.60,-,0.1,28.60,"1,762",28.65,122,15.46
639,2887,台新金,"18,436,061","5,194","235,729,539",12.85,12.90,12.70,12.70,-,0.1,12.70,"3,398",12.75,11,10.41
640,2887E,台新戊特,"47,705",24,"2,491,099",52.30,52.30,52.10,52.20,-,0.1,52.10,19,52.30,37,0.00
641,2887F,台新戊特二,"101,067",75,"5,194,429",51.40,51.40,51.30,51.30,-,0.1,51.20,4,51.30,7,0.00
642,2888,新光金,"38,302,180","6,853","316,309,245",8.35,8.35,8.23,8.23,-,0.07,8.23,"1,859",8.25,16,7.22
643,2888A,新光金甲特,"54,935",37,"2,354,276",42.95,42.95,42.85,42.90,-,0.05,42.85,17,42.90,7,0.00
644,2888B,新光金乙特,"153,260",82,"6,451,908",42.10,42.15,42.05,42.10,-,0.1,42.10,15,42.15,25,0.00
645,2889,國票金,"4,503,645","1,621","57,605,593",12.85,12.85,12.75,12.80,-,0.05,12.75,"1,131",12.80,83,12.43
646,2890,永豐金,"16,513,322","3,086","183,760,411",11.20,11.20,11.10,11.10,-,0.05,11.10,"1,895",11.15,610,10.28
647,2891,中信金,"26,896,032","8,374","516,772,440",19.30,19.35,19.20,19.20,-,0.05,19.20,473,19.25,860,9.41
648,2891B,中信金乙特,"73,788",33,"4,680,551",63.30,63.60,63.30,63.60,+,0.1,63.30,29,63.60,4,0.00
649,2891C,中信金丙特,"11,293",21,"695,035",61.50,61.80,61.50,61.80, ,0.0,61.50,16,61.80,36,0.00
650,2892,第一金,"22,306,652","7,809","455,810,839",20.50,20.55,20.40,20.40,-,0.1,20.40,"2,291",20.45,427,15.11
651,2897,王道銀行,"1,498,678",401,"9,935,432",6.71,6.71,6.60,6.62,-,0.03,6.61,89,6.62,3,18.91
652,2897A,王道銀甲特,"39,000",10,"397,000",10.10,10.20,10.10,10.15, ,0.0,10.15,17,10.20,91,0.00
653,2901,欣欣,"22,626",67,"533,352",23.75,23.75,23.40,23.50,-,0.25,23.50,10,23.55,1,75.81
654,2903,遠百,"1,095,703",709,"24,319,916",22.50,22.50,22.00,22.25, ,0.0,22.25,1,22.30,4,16.98
655,2904,匯僑,"62,226",57,"1,601,648",25.85,26.00,25.65,25.90,+,0.05,25.85,2,25.90,9,11.46
656,2905,三商,"812,649",351,"16,333,145",20.40,20.40,20.00,20.05,-,0.15,20.05,21,20.10,11,11.26
657,2906,高林,"616,174",185,"9,629,770",15.60,15.85,15.30,15.65,+,0.05,15.65,25,15.70,18,782.50
658,2908,特力,"117,874",76,"3,041,415",26.15,26.15,25.60,25.65,-,0.5,25.65,7,25.70,3,16.44
659,2910,統領,0,0,0,--,--,--,--, ,0.0,45.70,1,47.80,1,83.86
660,2911,麗嬰房,"237,871",152,"1,571,352",6.62,6.71,6.51,6.60,+,0.1,6.59,3,6.62,2,0.00
661,2912,統一超,"2,136,990","1,322","569,912,919",270.50,271.00,265.50,266.50,-,3.5,266.00,31,266.50,34,27.06
662,2913,農林,"846,551",316,"14,139,710",16.80,16.85,16.65,16.75,+,0.05,16.75,32,16.80,32,0.00
663,2915,潤泰全,"1,506,195",747,"103,414,158",68.30,69.40,68.20,68.60,+,0.3,68.60,36,68.90,9,5.62
664,2923,鼎固-KY,"177,001",91,"5,184,129",30.15,30.15,28.80,29.45,-,0.15,29.00,7,29.45,2,0.00
665,2929,淘帝-KY,"4,118,181","1,850","44,898,158",11.55,12.00,10.65,11.00,-,0.8,10.95,7,11.00,14,0.00
666,2936,客思達-KY,"12,000",11,"239,150",19.85,20.00,19.80,20.00, ,0.0,19.95,1,20.00,5,15.04
667,2939,凱羿-KY,"45,050",35,"1,270,735",28.50,28.70,28.00,28.70,-,0.2,28.00,1,28.30,1,0.00
668,3002,歐格,"119,004",69,"1,351,945",11.35,11.45,11.30,11.40,+,0.15,11.30,25,11.40,27,17.01
669,3003,健和興,"8,658,654","5,498","479,032,516",56.10,57.40,54.10,57.40,+,1.3,57.30,4,57.40,29,24.85
670,3004,豐達科,"50,140",57,"2,612,243",52.00,52.50,52.00,52.10,+,0.1,52.00,3,52.10,14,17.54
671,3005,神基,"633,531",478,"30,336,877",47.95,48.20,47.60,48.00,+,0.4,48.00,19,48.05,2,11.19
672,3006,晶豪科,"10,051,523","5,204","631,553,625",62.30,63.70,62.00,63.00, ,0.0,63.00,126,63.10,25,16.45
673,3008,大立光,"1,419,144","5,258","4,152,488,780","2,875.00","2,965.00","2,860.00","2,940.00",+,115.0,"2,935.00",5,"2,940.00",8,15.36
674,3010,華立,"1,645,662","1,028","123,382,491",74.60,75.80,73.60,75.50,+,1.7,75.40,4,75.50,1,10.11
675,3011,今皓,"42,636",25,"272,268",6.33,6.42,6.33,6.40,-,0.02,6.38,1,6.40,4,0.00
676,3013,晟銘電,"675,867",353,"8,984,461",13.05,13.60,13.05,13.45,+,0.1,13.45,33,13.50,38,12.93
677,3014,聯陽,"3,728,147","2,362","282,610,033",75.30,76.80,74.60,75.60,-,0.1,75.60,7,75.70,18,14.71
678,3015,全漢,"842,366",542,"32,138,216",37.70,38.70,37.70,38.55,+,0.9,38.55,18,38.60,48,12.44
679,3016,嘉晶,"3,428,032","2,363","245,348,551",71.00,72.60,70.80,72.00,+,0.7,71.90,19,72.00,14,0.00
