,證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比
735,3266,昇陽,"73,001",54,"1,029,914",14.35,14.35,13.85,14.25, ,0.0,14.20,4,14.25,6,33.14
736,3296,勝德,"4,150,021","1,880","98,122,348",23.55,24.65,22.70,22.70,-,0.8,22.70,3,22.80,1,378.33
737,3305,昇貿,"840,685",500,"24,504,674",29.10,29.45,28.95,29.15,+,0.15,29.15,4,29.20,7,28.86
738,3308,聯德,"11,860",12,"78,333",6.54,6.60,6.54,6.60,+,0.08,6.58,2,6.64,3,0.00
739,3311,閎暉,"96,974",79,"3,146,563",32.25,32.70,32.10,32.50,+,0.25,32.50,16,32.55,6,0.00
740,3312,弘憶股,"1,402,853",593,"20,662,866",14.50,14.95,14.45,14.85,+,0.4,14.80,2,14.85,40,12.80
741,3321,同泰,"833,307",438,"10,780,698",13.20,13.20,12.80,12.90,-,0.3,12.90,24,12.95,4,0.00
742,3338,泰碩,"568,612",388,"33,248,147",58.60,59.00,58.10,58.60,+,0.5,58.50,19,58.60,33,19.40
743,3346,麗清,"2,041,270","1,239","93,502,786",46.10,46.85,45.10,45.70,+,0.1,45.70,9,45.75,34,0.00
744,3356,奇偶,"631,640",426,"17,223,574",27.20,27.85,26.85,27.25,+,0.25,27.25,38,27.55,1,60.56
745,3376,新日興,"1,096,184",779,"140,177,721",128.00,130.00,126.50,127.50, ,0.0,127.00,25,127.50,14,15.66
746,3380,明泰,"5,690,412","3,074","198,292,927",35.00,35.65,34.30,35.15,+,0.4,35.15,7,35.20,12,48.82
747,3383,新世紀,"25,276",24,"91,534",3.70,3.70,3.58,3.60,-,0.02,3.60,1,3.66,2,0.00
748,3406,玉晶光,"9,089,791","8,653","4,356,549,159",456.00,499.50,455.50,493.00,+,38.5,493.00,14,493.50,13,17.99
749,3413,京鼎,"10,244,988","7,809","2,559,164,872",250.00,254.00,243.00,252.00,+,3.5,251.50,8,252.00,7,16.95
750,3416,融程電,"96,308",58,"6,862,828",72.30,72.30,71.00,71.50,-,0.3,71.50,6,71.60,3,21.54
751,3419,譁裕,"900,906",427,"17,352,456",19.50,19.50,19.10,19.20, ,0.0,19.20,20,19.25,4,87.27
752,3432,台端,"352,273",72,"4,373,007",12.45,12.55,12.25,12.35,-,0.1,12.30,4,12.35,8,35.29
753,3437,榮創,"7,464,809","3,925","253,558,920",34.25,34.80,33.40,34.20,-,0.3,34.10,19,34.20,33,0.00
754,3443,創意,"6,247,363","5,625","2,600,423,504",407.50,424.50,405.00,413.50,+,3.5,413.50,2,414.00,14,107.12
755,3450,聯鈞,"778,587",655,"49,502,125",63.10,64.20,63.10,64.00,+,1.0,63.90,14,64.00,8,39.02
756,3454,晶睿,"206,247",205,"17,758,806",87.00,88.80,85.00,86.10,-,0.9,86.10,2,86.20,3,35.58
757,3481,群創,"109,841,058","18,394","1,474,051,399",13.35,13.60,13.25,13.60,+,0.35,13.55,"1,397",13.60,"3,828",0.00
758,3494,誠研,"994,015",307,"4,270,242",4.51,4.53,4.07,4.43,-,0.08,4.43,3,4.44,10,0.00
759,3501,維熹,"237,764",165,"12,040,460",50.50,51.00,50.40,50.90,+,0.4,50.80,7,50.90,2,13.12
760,3504,揚明光,"328,020",221,"17,850,296",54.70,55.10,53.70,54.90,+,0.9,54.70,7,54.90,4,0.00
761,3515,華擎,"849,871",761,"127,973,557",154.00,154.00,148.00,151.00,-,1.0,150.50,120,151.00,18,15.18
762,3518,柏騰,"106,172",66,"3,207,809",30.50,30.95,30.00,30.45, ,0.0,30.40,1,30.45,1,0.00
763,3528,安馳,"38,148",35,"1,579,225",41.20,41.70,41.00,41.65,+,0.05,41.25,1,41.65,1,12.51
764,3530,晶相光,"2,401,561","1,778","273,336,688",112.00,116.00,112.00,114.50,+,2.5,114.50,8,115.00,24,42.88
765,3532,台勝科,"2,722,523","2,171","399,983,146",144.50,149.00,144.00,147.00,+,4.5,147.00,2,147.50,29,48.04
766,3533,嘉澤,"1,288,096","1,411","702,989,447",526.00,556.00,526.00,546.00,+,22.0,545.00,7,546.00,19,21.02
767,3535,晶彩科,"524,076",201,"9,334,356",17.80,18.05,17.55,17.75,+,0.2,17.75,22,17.80,9,0.00
768,3536,誠創,"90,740",17,"381,000",4.19,4.20,4.19,4.20,+,0.01,4.20,76,4.30,3,0.00
769,3543,州巧,"285,000",137,"8,967,300",30.60,32.00,30.60,31.65,+,1.05,31.65,1,31.70,1,71.93
770,3545,敦泰,"19,669,055","12,020","1,970,628,719",97.20,104.00,95.90,101.00,+,3.1,100.50,44,101.00,54,41.74
771,3550,聯穎,"172,014",98,"2,407,455",14.00,14.25,13.90,14.00,-,0.1,13.95,37,14.00,26,18.42
772,3557,嘉威,"292,799",233,"25,196,471",86.30,87.80,84.30,87.80,+,2.5,87.40,5,88.00,10,9.04
773,3563,牧德,"657,737",703,"176,653,661",270.50,273.00,265.50,270.00,-,0.5,270.00,16,270.50,5,19.91
774,3576,聯合再生,"49,953,394","12,761","645,843,719",12.55,13.30,12.50,12.85,+,0.65,12.85,742,12.90,85,0.00
775,3583,辛耘,"654,551",477,"42,222,596",64.20,65.20,63.50,64.50,-,0.1,64.50,2,64.60,25,21.72
776,3588,通嘉,"1,047,361",748,"63,858,757",60.80,61.90,60.20,61.50,+,1.1,61.40,1,61.50,8,64.06
777,3591,艾笛森,"1,439,463",709,"25,686,751",18.20,18.45,17.45,17.60,-,0.6,17.60,1,17.65,11,0.00
778,3593,力銘,"13,386",22,"160,491",12.20,12.20,11.90,12.00, ,0.0,11.95,2,12.00,3,"1,200.00"
779,3596,智易,"1,973,495","1,420","181,626,137",90.50,93.00,90.00,92.60,+,2.7,92.50,10,92.60,72,13.27
780,3605,宏致,"2,229,886","1,315","93,313,760",42.00,42.70,41.00,42.05,+,0.05,42.00,8,42.05,9,17.45
781,3607,谷崧,"344,025",160,"4,515,643",13.10,13.40,12.90,13.35,+,0.25,13.30,3,13.35,3,0.00
782,3617,碩天,"111,391",99,"8,823,417",79.90,79.90,78.60,79.10,-,1.3,79.10,3,79.20,3,23.47
783,3622,洋華,"1,381,723",882,"45,059,620",32.25,33.20,32.00,32.95,+,1.15,32.90,11,33.00,10,27.46
784,3645,達邁,"417,203",318,"20,520,872",49.25,49.80,48.60,49.20,+,0.3,49.15,2,49.20,14,22.88
785,3653,健策,"2,324,351","2,032","744,832,641",317.50,325.00,315.50,319.50,+,4.0,319.50,10,320.00,14,41.93
786,3661,世芯-KY,"995,925","1,211","908,957,483",874.00,942.00,874.00,915.00,+,20.0,915.00,14,917.00,2,76.44
787,3665,貿聯-KY,"5,365,681","4,473","1,583,017,925",289.00,305.00,287.00,298.00,+,12.0,298.00,26,298.50,4,22.47
788,3669,圓展,"1,343,525","1,059","94,786,052",69.50,71.50,69.30,71.40,+,2.1,71.40,2,71.50,39,11.07
789,3673,TPK-KY,"2,413,003","1,409","103,430,259",42.80,43.25,42.55,43.15,+,0.55,43.10,33,43.15,8,25.38
790,3679,新至陞,"164,800",133,"17,199,750",103.50,105.00,103.00,105.00,+,2.0,104.50,2,105.00,2,10.70
791,3682,亞太電,"7,997,297","2,353","75,887,213",9.70,9.70,9.38,9.48,-,0.06,9.48,190,9.50,11,0.00
792,3686,達能,"1,383,729",764,"23,119,987",16.30,17.10,16.30,16.55,+,0.45,16.55,23,16.65,21,0.00
793,3694,海華,"3,660,322",805,"102,387,605",27.45,28.25,27.40,27.65,-,0.05,27.65,68,27.70,1,15.98
794,3701,大眾控,"5,543",32,"74,614",13.45,13.50,13.45,13.50,+,0.1,13.45,2,13.50,1,0.00
795,3702,大聯大,"3,869,149","2,220","167,811,260",43.35,43.60,43.00,43.45,+,0.55,43.40,277,43.45,11,10.50
796,3702A,大聯大甲特,"35,000",18,"1,747,200",49.90,49.95,49.90,49.95,+,0.05,49.90,46,49.95,1,0.00
797,3703,欣陸,"2,114,626","1,006","40,458,173",18.95,19.35,18.95,19.15,+,0.2,19.10,115,19.15,204,16.09
798,3704,合勤控,"13,139,076","6,214","480,122,866",36.05,37.55,35.60,37.45,+,0.7,37.40,9,37.45,32,78.02
799,3705,永信,"508,004",281,"21,706,316",42.90,42.90,42.60,42.90,+,0.05,42.75,10,42.90,6,13.62
800,3706,神達,"3,067,832","1,761","89,530,852",29.20,29.30,29.10,29.30,+,0.1,29.25,30,29.30,157,11.81
801,3708,上緯投控,"2,297,707","1,709","313,140,661",132.00,138.50,131.50,137.00,+,5.0,136.50,6,137.00,4,14.35
802,3711,日月光投控,"29,842,619","13,617","3,135,127,324",105.50,106.50,104.00,105.00,-,0.5,105.00,532,105.50,641,18.72
803,3712,永崴投控,"2,567,526","1,473","68,403,339",25.50,27.65,25.50,27.40,+,2.2,27.40,21,27.45,115,0.00
804,3714,富采,"19,270,528","12,353","1,685,712,680",86.40,88.60,86.10,88.30,+,3.1,88.20,96,88.30,59,0.00
805,4104,佳醫,"241,255",261,"13,191,822",54.90,54.90,54.50,54.60,-,0.3,54.60,26,54.70,16,14.15
806,4106,雃博,"451,770",475,"11,807,487",26.55,26.70,25.90,26.05,-,0.6,26.05,43,26.10,3,23.90
807,4108,懷特,"712,185",400,"17,076,358",24.30,24.45,23.70,24.10,+,0.25,24.00,10,24.10,15,0.00
808,4119,旭富,"1,450,735","1,319","134,907,489",95.50,96.10,91.20,93.00,-,2.3,93.00,20,93.10,2,10.15
809,4133,亞諾法,"1,630,927","1,208","87,589,724",54.30,55.30,52.70,53.00,-,0.9,53.00,35,53.20,4,110.42
810,4137,麗豐-KY,"256,800",208,"53,232,724",207.00,208.50,205.00,208.50,+,1.5,208.00,46,208.50,1,16.29
811,4141,龍燈-KY,"58,239",68,"656,248",11.25,11.40,11.15,11.40,+,0.35,11.30,3,11.45,3,0.00
812,4142,國光生,"8,143,868","4,457","408,468,531",51.10,51.50,49.65,49.80,-,1.3,49.80,37,49.85,10,0.00
813,4148,全宇生技-KY,"48,020",38,"1,672,986",35.10,35.10,34.75,34.75,-,0.35,34.70,4,34.75,4,46.33
814,4155,訊映,"233,651",178,"5,917,296",25.70,25.70,25.20,25.25,-,0.25,25.25,11,25.35,12,18.57
815,4164,承業醫,"203,086",157,"7,297,705",36.60,36.60,35.75,36.05,+,0.15,36.05,2,36.10,2,13.71
816,4190,佐登-KY,"109,216",103,"9,220,448",83.00,85.40,83.00,85.00,+,2.0,84.80,2,85.20,5,18.28
817,4306,炎洲,"1,814,412",588,"25,921,342",14.30,14.45,14.15,14.30, ,0.0,14.25,145,14.30,58,11.35
818,4414,如興,"1,376,413",596,"13,114,878",9.55,9.65,9.40,9.60,+,0.09,9.59,163,9.60,31,0.00
819,4426,利勤,"599,603",399,"15,016,433",25.80,25.80,24.80,24.95,-,0.4,24.90,31,24.95,9,0.00
820,4438,廣越,"36,665",40,"3,798,908",104.00,104.00,103.00,104.00, ,0.0,103.50,3,104.00,3,22.27
821,4439,冠星-KY,"9,073",10,"1,287,866",141.50,143.00,141.00,141.50,+,0.5,141.00,6,142.50,1,12.15
822,4526,東台,"351,846",210,"5,268,689",15.10,15.10,14.80,15.10,+,0.2,15.05,2,15.10,8,0.00
823,4532,瑞智,"767,110",386,"15,196,044",20.00,20.00,19.70,19.85, ,0.0,19.80,109,19.85,9,15.15
824,4536,拓凱,"110,000",102,"16,572,000",150.50,151.00,150.00,151.00,+,0.5,150.50,9,151.50,8,21.98
825,4540,全球傳動,"2,246,817","1,734","130,222,583",60.20,60.20,56.20,58.60, ,0.0,58.60,1,58.70,10,390.67
826,4545,銘鈺,"42,000",25,"1,259,450",29.90,30.45,29.90,30.05,+,0.15,29.95,2,30.05,11,143.10
827,4551,智伸科,"661,930",461,"114,795,230",173.00,175.50,172.00,172.50,-,1.0,172.00,35,172.50,2,34.29
828,4552,力達-KY,"152,240",126,"5,240,901",34.65,34.65,34.20,34.45,-,0.3,34.40,6,34.45,2,14.29
829,4555,氣立,"59,000",43,"2,891,250",49.15,49.30,48.80,49.15, ,0.0,49.10,2,49.20,3,29.08
830,4557,永新-KY,"73,123",29,"4,620,173",63.00,63.80,62.80,63.80,+,1.2,63.50,5,63.80,1,16.75
831,4560,強信-KY,"294,000",153,"11,779,100",40.70,40.70,39.85,40.00,-,0.75,40.00,1,40.10,1,19.23
832,4562,穎漢,"331,002",227,"6,681,389",20.20,20.80,19.40,19.75,-,0.5,19.45,4,19.75,2,0.00
833,4564,元翎,"347,590",234,"10,619,263",31.05,31.05,30.35,30.65, ,0.0,30.65,17,30.70,6,21.89
834,4566,時碩工業,"1,136,582",718,"68,218,759",58.50,61.00,58.50,61.00,+,1.9,60.90,1,61.00,37,43.88
835,4571,鈞興-KY,"92,000",79,"7,861,900",86.10,87.10,84.30,86.40,+,1.1,86.40,2,86.50,3,17.60
836,4572,駐龍,"18,164",18,"1,415,656",77.80,78.00,77.80,77.80, ,0.0,77.80,8,78.00,1,41.83
837,4576,大銀微系統,"6,169,291","4,144","643,274,808",103.00,108.50,99.90,108.50,+,9.7,108.50,"3,963",--,0,157.25
838,4581,光隆精密-KY,"16,000",12,"584,500",36.30,37.00,36.25,36.80,+,0.2,36.50,1,36.95,1,16.80
839,4720,德淵,"2,524,960","1,168","40,877,861",15.95,16.40,15.90,16.15,+,0.5,16.10,63,16.20,64,28.33
840,4722,國精化,"2,248,397",655,"69,327,484",30.65,31.55,30.10,31.20,+,0.45,31.10,1,31.20,4,12.33
841,4737,華廣,"37,000",25,"2,390,400",64.80,65.00,64.20,64.80, ,0.0,64.50,3,64.80,5,53.11
842,4739,康普,"712,414",427,"44,004,227",61.30,62.60,60.80,62.30,+,1.0,62.20,11,62.30,38,45.14
843,4746,台耀,"677,019",485,"29,414,229",44.00,44.10,43.15,43.25,-,0.75,43.25,21,43.30,5,10.18
844,4755,三福化,"31,062",27,"1,905,119",61.30,61.60,61.30,61.40,-,0.1,61.40,1,61.50,1,14.28
845,4763,材料-KY,"202,730",162,"24,569,180",122.00,122.50,120.50,121.00,-,0.5,121.00,8,121.50,1,14.85
846,4764,雙鍵,"17,100",15,"1,107,740",64.60,65.00,64.50,65.00, ,0.0,64.80,1,65.00,4,103.17
847,4766,南寶,"118,440",115,"18,059,099",155.00,155.00,151.00,152.50,+,2.5,152.50,1,153.00,1,15.22
848,4807,日成-KY,"1,186",10,"28,434",23.65,23.65,23.65,23.65,+,0.2,23.25,4,23.45,4,8.39
849,4904,遠傳,"4,652,495","2,343","281,868,387",61.00,61.30,60.30,60.40, ,0.0,60.40,96,60.70,40,22.88
850,4906,正文,"3,253,369","1,263","91,042,534",27.90,28.20,27.80,28.05,+,0.15,28.05,20,28.10,150,8.53
851,4912,聯德控股-KY,"720,300",511,"95,497,146",128.50,135.50,128.50,134.00,+,6.0,133.50,14,134.00,14,16.13
852,4915,致伸,"7,792,362","4,577","423,226,843",54.40,55.00,53.80,54.30,+,0.4,54.20,33,54.30,80,11.36
853,4916,事欣科,"215,408",158,"4,779,663",22.30,22.60,21.90,22.05,-,0.05,22.05,8,22.15,5,0.00
854,4919,新唐,"3,553,352","2,071","157,553,833",44.00,44.85,43.40,44.65,+,0.6,44.60,45,44.65,70,20.30
855,4927,泰鼎-KY,"1,736,655",949,"118,971,402",68.10,69.30,67.70,68.40,+,0.5,68.40,11,68.50,2,12.53
856,4930,燦星網,"557,217",149,"10,049,058",17.80,18.35,17.55,17.80, ,0.0,17.80,16,17.85,5,12.81
857,4934,太極,"1,610,380",899,"43,169,751",26.90,27.50,26.40,26.60,+,0.25,26.55,17,26.65,4,0.00
858,4935,茂林-KY,"585,093",451,"60,284,730",103.00,103.50,102.50,103.00,+,1.0,102.50,82,103.00,40,12.78
859,4938,和碩,"36,029,203","18,772","2,766,924,280",75.60,78.30,74.90,77.60,+,0.6,77.60,120,77.70,76,8.57
860,4942,嘉彰,"155,050",114,"5,686,750",37.10,37.10,36.60,36.75,+,0.1,36.65,6,36.75,3,8.33
861,4943,康控-KY,"1,360,842",938,"102,789,173",74.40,77.20,74.20,76.20,+,2.2,76.10,1,76.20,37,102.97
862,4952,凌通,"542,212",345,"22,065,552",40.20,41.00,40.20,40.85,+,0.35,40.85,2,40.90,13,19.73
863,4956,光鋐,"2,498,649","1,240","50,679,760",20.35,20.90,19.85,20.25,-,0.25,20.20,23,20.30,7,0.00
864,4958,臻鼎-KY,"8,917,866","5,074","1,037,753,365",116.00,118.00,114.50,117.00,+,2.0,116.50,210,117.00,133,14.15
865,4960,誠美材,"6,661,254","1,641","69,426,016",10.45,10.60,10.30,10.50, ,0.0,10.45,31,10.50,121,0.00
866,4961,天鈺,"3,015,183","1,510","466,628,165",152.00,159.00,152.00,155.00,+,3.0,154.50,3,155.00,36,93.94
867,4967,十銓,"5,671,156","3,058","254,848,095",45.05,45.90,44.25,45.15,+,0.95,45.10,8,45.15,1,35.27
868,4968,立積,"12,784,329","11,905","7,861,339,625",592.00,639.00,588.00,613.00,+,11.0,612.00,5,613.00,41,66.56
869,4976,佳凌,"12,659,895","7,967","1,091,217,652",83.20,89.70,83.20,88.60,+,4.1,88.60,18,88.70,25,0.00
870,4977,眾達-KY,"338,299",290,"35,974,204",105.00,107.50,104.50,107.00,+,2.5,106.50,13,107.00,1,15.92
871,4989,榮科,"994,025",472,"22,497,875",22.35,23.40,21.40,23.00,+,1.05,23.00,14,23.05,10,328.57
872,4994,傳奇,"208,331",146,"15,748,085",74.80,76.60,73.50,75.50,+,2.1,75.50,2,75.70,1,20.30
873,4999,鑫禾,"299,275",199,"15,143,364",50.10,50.90,50.10,50.50,-,0.2,50.50,16,50.70,1,11.43
874,5007,三星,"105,190",56,"5,244,140",50.00,50.00,49.65,49.95,-,0.05,49.90,1,49.95,1,25.75
875,5203,訊連,"261,091",161,"26,780,885",103.50,103.50,102.00,102.50,-,1.0,102.00,75,102.50,5,31.25
876,5215,科嘉-KY,"1,145,368",914,"155,790,904",131.00,138.00,131.00,136.00,+,7.0,135.50,22,136.00,74,14.15
877,5225,東科-KY,"103,000",64,"2,586,350",25.10,25.40,25.00,25.10,-,0.3,25.05,10,25.10,3,0.00
878,5234,達興材料,"1,459,851",413,"123,186,363",82.40,88.00,82.40,85.60,+,3.2,85.60,6,85.70,1,13.40
879,5243,乙盛-KY,"9,182,127","5,883","604,096,544",65.10,67.00,64.20,66.60,+,2.0,66.50,12,66.60,24,25.52
880,5258,虹堡,"318,050",162,"6,730,125",21.65,21.75,20.90,21.20,-,0.35,21.20,1,21.25,7,5.92
881,5269,祥碩,"1,447,313","1,618","2,664,998,555","1,750.00","1,895.00","1,750.00","1,855.00",+,105.0,"1,850.00",84,"1,855.00",10,52.73
882,5283,禾聯碩,"382,705",348,"51,242,805",132.50,135.00,132.50,134.50,+,2.0,134.50,4,135.00,28,10.76
883,5284,jpp-KY,"9,000",7,"311,200",34.60,34.70,34.50,34.70,+,0.25,34.70,1,34.75,4,16.22
884,5285,界霖,"1,130,131",810,"79,859,760",71.30,71.90,69.90,70.00,-,0.9,70.00,20,70.60,10,80.46
885,5288,豐祥-KY,"98,095",68,"11,061,687",112.00,114.50,111.50,113.50,+,2.0,113.50,6,114.00,3,15.42
886,5388,中磊,"1,483,230","1,106","108,697,041",71.50,74.00,71.50,73.60,+,2.4,73.50,15,73.60,1,19.22
887,5434,崇越,"3,226,925","2,532","403,741,514",122.00,127.00,122.00,126.00,+,5.0,125.50,54,126.00,9,11.91
888,5469,瀚宇博,"2,357,829","1,192","98,023,281",41.10,41.90,41.10,41.80,+,0.55,41.75,26,41.80,72,7.60
889,5471,松翰,"3,973,094","2,444","264,680,315",64.60,67.80,64.60,67.60,+,3.0,67.50,46,67.60,156,13.36
890,5484,慧友,"237,020",128,"3,459,468",14.25,14.85,14.25,14.75,+,0.25,14.70,8,14.75,1,0.00
891,5515,建國,"255,425",101,"3,247,144",12.80,12.80,12.60,12.75,-,0.05,12.75,16,12.80,89,10.71
892,5519,隆大,"356,125",160,"5,172,562",14.80,14.80,14.45,14.55, ,0.0,14.50,36,14.60,17,9.33
893,5521,工信,"1,402,130",581,"13,045,983",9.25,9.48,9.24,9.48,+,0.23,9.37,5,9.48,4,3.09
894,5522,遠雄,"551,544",403,"28,500,865",51.90,51.90,51.50,51.70,-,0.3,51.70,1,51.80,11,12.67
895,5525,順天,"35,220",33,"763,485",21.90,21.90,21.60,21.65,-,0.05,21.65,1,21.75,23,50.35
896,5531,鄉林,"2,071,013",993,"28,425,895",14.15,14.15,13.55,13.80,-,0.1,13.80,3,13.85,34,34.50
897,5533,皇鼎,"139,202",38,"2,240,042",16.20,16.20,16.00,16.05,-,0.05,16.05,3,16.10,2,47.21
898,5534,長虹,"278,534",215,"22,187,545",79.90,79.90,79.30,79.90,+,0.5,79.90,5,80.00,41,9.40
899,5538,東明-KY,"6,000",6,"225,100",37.70,37.70,37.10,37.20,+,0.2,37.20,3,37.60,1,13.68
900,5546,永固-KY,"1,020,548",547,"85,497,863",83.50,85.00,83.00,84.90,+,1.2,84.80,25,84.90,2,12.50
901,5607,遠雄港,"390,968",224,"10,153,991",25.75,26.20,25.70,26.10,+,0.35,26.10,9,26.15,36,18.00
902,5608,四維航,"6,024,524","2,044","60,785,055",9.80,10.50,9.65,10.25,+,0.53,10.20,43,10.25,9,0.00
903,5706,鳳凰,"82,913",71,"2,457,277",30.00,30.00,29.50,29.60,-,0.25,29.60,1,29.65,1,50.17
904,5871,中租-KY,"2,856,643","1,971","477,739,421",166.50,168.50,165.00,168.00,+,1.5,167.50,88,168.00,27,15.72
905,5871A,中租-KY甲特,"166,888",109,"16,604,060",99.50,99.50,99.40,99.50,+,0.1,99.50,1,99.60,15,0.00
906,5876,上海商銀,"5,226,900","1,999","204,392,834",39.50,39.55,38.90,39.00,-,0.1,39.00,455,39.05,7,12.75
907,5880,合庫金,"19,118,672","6,214","373,510,491",19.60,19.65,19.50,19.50,-,0.1,19.50,"3,802",19.55,1,15.98
908,5906,台南-KY,"14,814",18,"723,280",47.80,49.20,47.80,49.10,+,1.4,48.65,3,49.10,1,0.00
909,5907,大洋-KY,"121,099",87,"2,337,665",19.80,19.80,19.15,19.35,-,0.2,19.30,6,19.40,4,483.75
910,6005,群益證,"5,046,257","1,214","69,963,374",13.90,14.00,13.80,13.95,+,0.05,13.90,19,13.95,77,10.11
911,6024,群益期,"267,018",374,"10,037,022",37.90,37.90,37.45,37.50,-,0.15,37.50,8,37.80,2,12.54
912,6108,競國,"798,540",466,"16,892,085",21.65,21.65,20.95,21.15,-,0.2,21.10,9,21.15,1,0.00
913,6112,聚碩,"520,446",434,"22,946,949",44.00,44.20,44.00,44.20,+,0.2,44.15,18,44.20,27,16.43
914,6115,鎰勝,"114,672",95,"4,789,272",41.90,41.90,41.70,41.75,+,0.05,41.75,1,41.80,5,17.62
915,6116,彩晶,"41,454,034","6,194","510,087,560",12.30,12.40,12.15,12.40,+,0.2,12.35,"1,254",12.40,"2,184",34.44
916,6117,迎廣,"4,501",17,"68,765",15.00,15.45,15.00,15.40,+,0.7,14.90,3,15.40,1,0.00
917,6120,達運,"1,668,088",553,"20,849,043",12.40,12.75,12.30,12.65,+,0.25,12.65,1,12.70,17,0.00
918,6128,上福,"33,830",34,"915,910",27.25,27.25,27.00,27.15, ,0.0,27.05,1,27.20,3,21.72
919,6133,金橋,"164,007",90,"1,435,506",8.85,8.88,8.62,8.80, ,0.0,8.80,6,8.88,7,440.00
920,6136,富爾特,"157,750",135,"2,714,089",17.30,17.30,17.15,17.25,-,0.05,17.20,11,17.25,10,35.94
921,6139,亞翔,"3,123,226","1,763","100,533,053",32.45,32.80,31.85,32.00,-,1.5,32.00,62,32.05,8,21.77
922,6141,柏承,"956,008",480,"27,802,782",28.50,29.50,28.50,29.35,+,0.7,29.35,7,29.40,4,6.39
923,6142,友勁,"295,355",118,"2,423,187",8.40,8.40,8.17,8.19,-,0.05,8.19,2,8.20,18,0.00
924,6152,百一,"1,097,539",381,"11,512,620",10.30,10.90,10.20,10.65,+,0.35,10.60,19,10.70,46,56.05
925,6153,嘉聯益,"10,390,063","4,601","359,644,220",34.05,35.00,34.00,34.50,+,0.45,34.50,128,34.55,5,46.62
926,6155,鈞寶,"433,136",239,"10,742,428",25.30,25.30,24.60,24.95,+,0.2,24.95,14,25.00,1,131.32
927,6164,華興,"2,575,150",664,"26,455,029",10.35,10.55,9.98,10.40,+,0.05,10.35,27,10.45,8,0.00
928,6165,捷泰,"738,836",455,"28,405,472",37.45,39.80,37.35,39.70,+,2.25,39.70,56,39.75,7,264.67
929,6166,凌華,"236,055",207,"12,796,005",55.20,55.20,54.00,54.00,-,0.3,54.00,5,54.10,3,40.00
930,6168,宏齊,"4,212,763","1,914","76,699,409",18.20,18.80,17.80,18.15,-,0.3,18.15,18,18.20,59,50.42
931,6172,互億,"5,777",7,"172,934",29.95,30.05,29.95,30.05, ,0.0,29.95,8,30.05,1,0.00
932,6176,瑞儀,"5,361,092","2,752","636,125,251",118.50,119.50,117.50,119.50,+,1.5,119.00,280,119.50,203,11.74
933,6177,達麗,"479,629",281,"13,656,502",28.70,28.70,28.40,28.45,-,0.25,28.45,4,28.55,10,37.93
934,6183,關貿,"67,005",56,"3,140,694",46.85,47.00,46.80,47.00, ,0.0,46.90,2,47.00,3,21.08
935,6184,大豐電,"141,609",74,"6,063,521",43.20,43.20,42.70,42.95,+,0.1,42.70,5,43.00,17,12.41
936,6189,豐藝,"278,305",159,"9,676,328",34.75,34.80,34.70,34.80, ,0.0,34.80,2,34.90,2,12.79
937,6191,精成科,"6,612,095","2,823","159,146,788",24.15,24.30,23.70,24.10,-,0.05,24.10,89,24.15,201,8.67
938,6192,巨路,"84,715",72,"5,572,991",65.80,66.00,65.60,66.00,+,0.2,66.00,1,66.10,17,11.09
939,6196,帆宣,"23,709,033","16,601","3,065,372,938",128.00,134.50,125.00,127.50,-,3.0,127.50,10,128.00,37,27.24
940,6197,佳必琪,"393,792",284,"14,665,574",37.10,37.80,36.90,37.30,+,0.2,37.30,9,37.35,20,18.74
941,6201,亞弘電,"144,020",80,"5,752,200",39.95,40.20,39.75,40.00,+,0.05,39.90,6,40.00,15,14.93
942,6202,盛群,"595,763",466,"42,780,165",71.60,72.30,71.00,71.80,+,0.8,71.80,4,71.90,1,17.91
943,6205,詮欣,"530,051",346,"22,206,442",41.00,42.50,41.00,42.00,+,1.0,42.00,8,42.15,28,23.60
944,6206,飛捷,"221,262",185,"13,222,223",59.90,60.00,59.50,60.00,+,0.1,59.90,1,60.00,28,13.39
945,6209,今國光,"1,880,988","1,099","61,974,947",32.65,33.35,32.45,33.05,+,0.4,33.00,12,33.05,78,0.00
946,6213,聯茂,"2,499,712","1,427","346,854,802",139.00,141.00,137.00,140.00,+,1.0,140.00,56,140.50,73,18.25
947,6214,精誠,"522,343",405,"44,698,577",85.60,86.00,84.90,85.80,+,0.9,85.60,8,85.80,2,10.00
948,6215,和椿,"8,187,907","2,807","150,280,752",17.40,18.70,17.35,18.70,+,1.7,18.70,"1,414",--,0,17.81
949,6216,居易,"72,456",64,"1,812,409",25.10,25.10,25.00,25.05,-,0.05,25.05,12,25.10,16,19.57
950,6224,聚鼎,"2,045,095","1,484","213,176,649",101.50,109.00,99.90,106.00,+,6.5,106.00,19,106.50,41,22.08
951,6225,天瀚,"1,725",13,"5,460",3.20,3.20,3.20,3.20,-,0.05,3.05,1,3.39,1,0.00
952,6226,光鼎,"4,432,438","1,110","44,634,780",10.10,10.30,9.60,9.80,-,0.3,9.79,8,9.80,14,11.53
953,6230,超眾,"275,879",263,"59,552,987",212.50,218.50,212.50,218.50,+,6.0,218.00,17,218.50,3,28.27
